public_id,price_amd,price_per_sqm_amd,total_area,living_area,kitchen_area,rooms,bathrooms,ceiling_height,floor,balcony_count,has_loggia,has_parking,has_storage,condition,heating,ownership_docs,lat,lon,building_type,construction_year,total_floors,has_elevator,seismic_retrofit,district_slug
Y21-1CE5C07A,43830600,932566,47,,,2,1,,5,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,8,true,,arabkir
Y21-42C15964,62975000,655990,96,,,3,1,,10,0,,,,NEEDS_REPAIR,,,,,PANEL,,16,true,,arabkir
Y21-A491430D,28716600,522120,55,,,2,1,,7,0,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-525805C9,80608000,732800,110,,,4,2,,4,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-41E8BCF2,31235600,650742,48,,,1,1,,1,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-3742ACFC,67005400,736323,91,,,4,2,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,12,true,,arabkir
Y21-9BDAB766,30228000,549600,55,,,2,1,,3,1,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,12,true,,arabkir
Y21-06445408,43326800,637159,68,,,4,1,,3,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-473C2AC2,43830600,409632,107,,,4,1,,5,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-6B891B4D,42823000,486625,88,,,3,1,,5,1,,,,GOOD,,,,,PANEL,,14,true,,arabkir
Y21-376F3354,48364800,525704,92,,,3,2,,1,0,,,,EURO_RENOVATION,,,,,PANEL,,7,true,,arabkir
Y21-7076285A,42823000,428230,100,,,3,3,,2,0,,,,EURO_RENOVATION,,,,,MONOLITH,,2,false,,arabkir
Y21-234EDBEF,26701400,635748,42,,,2,1,,5,0,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-EC475174,42823000,586616,73,,,2,1,,2,1,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-29C775BC,75570000,572500,132,,,4,2,,7,0,,,,EURO_RENOVATION,,,,,STONE,,7,true,,arabkir
Y21-2F6C4BDC,36273600,549600,66,,,2,1,,5,1,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-10B9C589,35266000,542554,65,,,2,1,,3,2,,,,GOOD,,,,,STONE,,4,false,,arabkir
Y21-3B3722C0,34258400,601025,57,,,2,1,,5,0,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-BF8A1DD8,37785000,419833,90,,,3,1,,1,1,,,,EURO_RENOVATION,,,,,STONE,,16,true,,arabkir
Y21-D98CB354,32747000,467814,70,,,3,1,,7,1,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-B0CA8819,55418000,461817,120,,,4,1,,12,1,,,,EURO_RENOVATION,,,,,PANEL,,13,true,,arabkir
Y21-2E61D4CF,39800200,631749,63,,,2,1,,4,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-276EDB2F,50380000,409593,123,,,4,1,,10,0,,,,GOOD,,,,,NEW_BUILD,,10,true,,arabkir
Y21-286CB51C,70532000,712444,99,,,3,2,,7,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,8,true,,arabkir
Y21-B6C386CC,49876200,470530,106,,,4,1,,5,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-BEBC9721,33754600,475417,71,,,2,1,,5,1,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-F2FFCBD2,51891400,503800,103,,,3,1,,1,0,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-B74FB748,38792600,546375,71,,,3,1,,5,0,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-8F03269A,32747000,503800,65,,,2,1,,4,1,,,,EURO_RENOVATION,,,,,STONE,,4,false,,arabkir
Y21-0F60AF3E,37281200,573557,65,,,2,1,,6,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,9,true,,arabkir
Y21-6C310739,32747000,436627,75,,,3,1,,4,1,,,,GOOD,,,,,STONE,,4,false,,arabkir
Y21-44A4E650,55418000,508422,109,,,5,1,,1,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-810E19E7,34762200,469759,74,,,2,1,,5,1,,,,GOOD,,,,,PANEL,,9,true,,arabkir
Y21-90CC07FA,33452320,491946,68,,,3,1,,7,1,,,,GOOD,,,,,PANEL,,9,true,,arabkir
Y21-FD02975A,59448400,675550,88,,,3,2,,6,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,8,true,,arabkir
Y21-22D63290,38792600,625687,62,,,3,1,,2,0,,,,GOOD,,,,,STONE,,4,false,,arabkir
Y21-49B5B4BB,51387600,626678,82,,,3,2,,2,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,4,false,,arabkir
Y21-1F60088D,42319200,455045,93,,,3,1,,3,1,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-D4B83C74,44838200,879180,51,,,2,1,,5,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,6,true,,arabkir
Y21-2DFE0457,26197600,569513,46,,,2,1,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,arabkir
Y21-E7BD4096,45342000,431829,105,,,4,2,,13,1,,,,GOOD,,,,,PANEL,,14,true,,arabkir
Y21-F66ED033,30228000,377850,80,,,3,1,,1,2,,,,GOOD,,,,,PANEL,,9,true,,arabkir
Y21-F5D0057B,50380000,671733,75,,,3,1,,2,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-20AFAC69,43326800,637159,68,,,4,1,,3,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-3D2ADA02,33754600,581976,58,,,2,1,,5,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-67FB3D99,31235600,800913,39,,,1,1,,2,1,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-AB140418,45845800,587767,78,,,3,1,,1,1,,,,GOOD,,,,,PANEL,,9,true,,arabkir
Y21-2B118967,34661440,468398,74,,,3,1,,9,2,,,,GOOD,,,,,PANEL,,14,true,,arabkir
Y21-A3AA4791,38792600,587767,66,,,2,1,,4,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-8C6C88B0,30228000,816973,37,,,2,1,,1,0,,,,EURO_RENOVATION,,,,,STONE,,4,false,,arabkir
Y21-5D62B31B,54914200,915237,60,,,2,2,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,12,true,,arabkir
Y21-0C6E4A72,20655800,459018,45,,,2,1,,6,1,,,,EURO_RENOVATION,,,,,STONE,,6,true,,arabkir
Y21-4B56D3B5,45342000,503800,90,,,3,1,,4,2,,,,GOOD,,,,,STONE,,4,false,,arabkir
